# This file should be in the working directory.
#
# Data from
# 'X-ray Data Booklet'
# Thompson, A.C. et al.
# Lawrence Berkeley National Laboratory, University of California, 2009,
# except those marked with *, adapted from 
# 'The Lund/LBNL Nuclear Data Search'
# Version 2.0, February 1999
# S.Y.F. Chu, L.P. Ekström and R.B. Firestone,
# and those marked with %, from fit to previouosly mentioned data.
#
# Photon energies and relative intensities of K-, L-, and M-shell lines, arranged by
# element. An intensity of 100 is assigned to the strongest line in each shell for each element.
#
# Z    Line     E (keV)   Relative intensity (%)
#------------------------------------------------
69 Tm  Ll       6.342     4 
69 Tm  Lα2      7.133     11 
69 Tm  Lα1      7.18      100 
69 Tm  Lβ1      8.101     64 
69 Tm  Lβ2,15   8.468     20 
69 Tm  Lγ1      9.426     12 
69 Tm  Kα2      49.773    57 
69 Tm  Kα1      50.742    100 
69 Tm  Kβ3      57.304    11 
69 Tm  Kβ1      57.517    21 
69 Tm  Kβ2      59.09     7 
70 Yb  Mα1      1.521     100 
70 Yb  Ll       6.545     4 
70 Yb  Lα2      7.367     11 
70 Yb  Lα1      7.416     100 
70 Yb  Lβ1      8.402     65 
70 Yb  Lβ2,15   8.759     20 
70 Yb  Lγ1      9.78      12 
70 Yb  Kα2      51.354    57 
70 Yb  Kα1      52.389    100 
70 Yb  Kβ3      59.14     11 
70 Yb  Kβ1      59.37     21 
70 Yb  Kβ2      60.98     7 
71 Lu  Mα1      1.581     100 
71 Lu  Ll       6.753     4 
71 Lu  Lα2      7.605     11 
71 Lu  Lα1      7.655     100 
71 Lu  Lβ1      8.709     66 
71 Lu  Lβ2      9.049     19 
71 Lu  Lγ1      10.143    12 
71 Lu  Kα2      52.965    57 
71 Lu  Kα1      54.07     100 
71 Lu  Kβ3      61.05     11 
71 Lu  Kβ1      61.283    21 
71 Lu  Kβ2      62.97     7 
72 Hf  Mα1      1.645     100 
72 Hf  Ll       6.96      5 
72 Hf  Lα2      7.845     11 
72 Hf  Lα1      7.899     100 
72 Hf  Lβ1      9.023     67 
72 Hf  Lβ2      9.347     20 
72 Hf  Lγ1      10.516    12 
72 Hf  Kα2      54.611    57 
72 Hf  Kα1      55.79     100 
72 Hf  Kβ3      62.98     11 
72 Hf  Kβ1      63.234    22 
72 Hf  Kβ2      64.98     7 
73 Ta  Mα1      1.71      100 
73 Ta  Ll       7.173     5 
73 Ta  Lα2      8.088     11 
73 Ta  Lα1      8.146     100 
73 Ta  Lβ1      9.343     67 
73 Ta  Lβ2      9.652     20 
73 Ta  Lγ1      10.895    12 
73 Ta  Kα2      56.277    57 
73 Ta  Kα1      57.532    100 
73 Ta  Kβ3      64.949    11 
73 Ta  Kβ1      65.223    22 
73 Ta  Kβ2      66.99     7 
74 W   Mα1      1.775     100 
74 W   Ll       7.388     5 
74 W   Lα2      8.335     11 
74 W   Lα1      8.398     100 
74 W   Lβ1      9.672     67 
74 W   Lβ2      9.961     21 
74 W   Lγ1      11.286    13 
74 W   Kα2      57.982    58 
74 W   Kα1      59.318    100 
74 W   Kβ3      66.951    11 
74 W   Kβ1      67.244    22 
74 W   Kβ2      69.067    8 
75 Re  Mα1      1.843     100 
75 Re  Ll       7.604     5 
75 Re  Lα2      8.586     11 
75 Re  Lα1      8.652     100 
75 Re  Lβ1      10.01     66 
75 Re  Lβ2      10.275    22 
75 Re  Lγ1      11.685    13 
75 Re  Kα2      59.718    58 
75 Re  Kα1      61.14     100 
75 Re  Kβ3      68.994    12 
75 Re  Kβ1      69.31     22 
75 Re  Kβ2      71.232    8 
76 Os  Mα1      1.91      100 
76 Os  Ll       7.822     5 
76 Os  Lα2      8.841     11 
76 Os  Lα1      8.912     100 
76 Os  Lβ1      10.355    67 
76 Os  Lβ2      10.598    22 
76 Os  Lγ1      12.095    13 
76 Os  Kα2      61.487    58 
76 Os  Kα1      63.001    100 
76 Os  Kβ3      71.077    12 
76 Os  Kβ1      71.413    23 
76 Os  Kβ2      73.363    8 
77 Ir  Mα1      1.98      100 
77 Ir  Ll       8.046     5 
77 Ir  Lα2      9.1       11 
77 Ir  Lα1      9.175     100 
77 Ir  Lβ1      10.708    66 
77 Ir  Lβ2      10.92     22 
77 Ir  Lγ1      12.513    13 
77 Ir  Kα2      63.287    58 
77 Ir  Kα1      64.896    100 
77 Ir  Kβ3      73.203    12 
77 Ir  Kβ1      73.561    23 
77 Ir  Kβ2      75.575    8 
78 Pt  Mα1      2.05      100 
78 Pt  Ll       8.268     5 
78 Pt  Lα2      9.362     11 
78 Pt  Lα1      9.442     100 
78 Pt  Lβ1      11.071    67 
78 Pt  Lβ2      11.251    23 
78 Pt  Lγ1      12.942    13 
78 Pt  Kα2      65.112    58 
78 Pt  Kα1      66.832    100 
78 Pt  Kβ3      75.368    12 
78 Pt  Kβ1      75.748    23 
78 Pt  Kβ2      77.85     8 
79 Au  Mα1      2.123     100 
79 Au  Ll       8.494     5 
79 Au  Lα2      9.628     11 
79 Au  Lα1      9.713     100 
79 Au  Lβ1      11.442    67 
79 Au  Lβ2      11.585    23 
79 Au  Lγ1      13.382    13 
79 Au  Kα2      66.99     59 
79 Au  Kα1      68.804    100 
79 Au  Kβ3      77.58     12 
79 Au  Kβ1      77.984    23 
79 Au  Kβ2      80.15     8 
80 Hg  Mα1      2.195     100 
80 Hg  Ll       8.721     5 
80 Hg  Lα2      9.898     11 
80 Hg  Lα1      9.989     100 
80 Hg  Lβ1      11.823    67 
80 Hg  Lβ2      11.924    24 
80 Hg  Lγ1      13.83     14 
80 Hg  Kα2      68.895    59 
80 Hg  Kα1      70.819    100 
80 Hg  Kβ3      79.822    12 
80 Hg  Kβ1      80.253    23 
80 Hg  Kβ2      82.515    8 
81 Tl  Mα1      2.271     100 
81 Tl  Ll       8.953     6 
81 Tl  Lα2      10.173    11 
81 Tl  Lα1      10.268    100 
81 Tl  Lβ1      12.213    67 
81 Tl  Lβ2      12.271    25 
81 Tl  Lγ1      14.291    14 
81 Tl  Kα2      70.832    60 
81 Tl  Kα1      72.871    100 
81 Tl  Kβ3      82.118    12 
81 Tl  Kβ1      82.576    23 
81 Tl  Kβ2      84.91     8 
82 Pb  Mα1      2.345     100 
82 Pb  Ll       9.184     6 
82 Pb  Lα2      10.45     11 
82 Pb  Lα1      10.552    100 
82 Pb  Lβ1      12.614    66 
82 Pb  Lβ2      12.623    25 
82 Pb  Lγ1      14.764    14 
82 Pb  Kα2      72.804    60 
82 Pb  Kα1      74.969    100 
82 Pb  Kβ3      84.45     12 
82 Pb  Kβ1      84.936    23 
82 Pb  Kβ2      87.32     8 
83 Bi  Mα1      2.423     100 
83 Bi  Ll       9.42      6 
83 Bi  Lα2      10.731    11 
83 Bi  Lα1      10.839    100 
83 Bi  Lβ2      12.98     25 
83 Bi  Lβ1      13.024    67 
83 Bi  Lγ1      15.248    14 
83 Bi  Kα2      74.815    60 
83 Bi  Kα1      77.108    100 
83 Bi  Kβ3      86.834    12 
83 Bi  Kβ1      87.343    23 
